排名,股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,市盈率,市净率,总市值,更新时间
79,603787,新日股份,15.4,3.217,0.0,4282300.0,65155247.0,0,15.5,14.83,14.83,14.92,0,0,0,2026-03-27 09:32:30
80,002468,申通快递,15.38,3.152,0.0,5361960.0,81501771.0,0,15.39,14.85,14.9,14.91,0,0,0,2026-03-27 09:32:30
81,002972,科安达,11.73,3.076,0.0,903340.0,10478708.0,0,11.74,11.36,11.37,11.38,0,0,0,2026-03-27 09:32:30
82,002039,黔源电力,21.45,3.075,0.0,10200740.0,226575088.0,0,22.82,21.11,22.8,20.81,0,0,0,2026-03-27 09:32:30
83,003042,中农联合,16.84,3.06,0.0,625600.0,10287043.0,0,16.9,16.09,16.12,16.34,0,0,0,2026-03-27 09:32:30
84,002083,孚日股份,11.85,3.043,0.0,6187500.0,71517718.0,0,11.85,11.35,11.36,11.5,0,0,0,2026-03-27 09:32:30
85,301323,新莱福,54.5,3.025,0.0,148899.0,8001623.0,0,54.5,52.65,52.65,52.9,0,0,0,2026-03-27 09:32:30
86,688353,华盛锂电,123.51,3.019,0.0,952426.0,115731765.0,0,123.79,119.89,120.0,119.89,0,0,0,2026-03-27 09:32:30
87,600367,红星发展,22.95,3.007,0.0,2770687.0,62296303.0,0,22.98,22.0,22.06,22.28,0,0,0,2026-03-27 09:32:30
88,002969,嘉美包装,23.69,3.0,0.0,8564600.0,202241032.0,0,23.98,23.3,23.3,23.0,0,0,0,2026-03-27 09:32:30
89,000731,四川美丰,7.92,2.991,0.0,6974500.0,54954141.0,0,7.99,7.71,7.71,7.69,0,0,0,2026-03-27 09:32:30
90,301226,祥明智能,41.41,2.933,0.0,984700.0,39891942.0,0,41.41,39.64,39.7,40.23,0,0,0,2026-03-27 09:32:30
91,000617,中油资本,10.54,2.93,0.0,46833953.0,492630122.0,0,10.66,10.32,10.53,10.24,0,0,0,2026-03-27 09:32:30
92,603132,金徽股份,15.65,2.893,0.0,788600.0,12227214.0,0,15.66,15.25,15.26,15.21,0,0,0,2026-03-27 09:32:30
93,301035,润丰股份,76.16,2.877,0.0,157300.0,11798401.0,0,76.16,73.61,74.03,74.03,0,0,0,2026-03-27 09:32:30
94,002274,华昌化工,6.5,2.848,0.0,3290600.0,21093254.0,0,6.52,6.23,6.26,6.32,0,0,0,2026-03-27 09:32:30
95,000637,茂化实华,4.71,2.838,0.0,3242200.0,15331160.0,0,4.9,4.55,4.6,4.58,0,0,0,2026-03-27 09:32:30
96,600299,安迪苏,13.9,2.735,0.0,2668600.0,36667863.0,0,13.98,13.46,13.53,13.53,0,0,0,2026-03-27 09:32:30
97,688409,富创精密,87.54,2.734,0.0,423608.0,36718335.0,0,87.55,86.03,86.16,85.21,0,0,0,2026-03-27 09:32:30
98,002445,中南文化,4.15,2.723,0.0,47639526.0,196802960.0,0,4.22,4.0,4.0,4.04,0,0,0,2026-03-27 09:32:30
99,002263,大东南,3.8,2.703,0.0,79486400.0,307160049.0,0,3.91,3.75,3.91,3.7,0,0,0,2026-03-27 09:32:30
100,600838,上海九百,10.27,2.7,0.0,1764600.0,18047896.0,0,10.3,10.09,10.23,10.0,0,0,0,2026-03-27 09:32:30
